Date,USD_Index
4/7/2010,92.7452
4/8/2010,92.7211
4/9/2010,92.4772
4/12/2010,92.243
4/13/2010,92.2689
4/14/2010,91.9297
4/15/2010,92.2029
4/16/2010,92.5253
4/19/2010,92.8577
4/20/2010,92.4338
4/21/2010,92.4482
4/22/2010,92.7277
4/23/2010,92.6622
4/26/2010,92.5187
4/27/2010,93.0956
4/28/2010,93.4856
4/29/2010,92.9013
4/30/2010,92.8423
5/3/2010,93.235
5/4/2010,93.8137
5/5/2010,94.3968
5/6/2010,95.3032
5/7/2010,95.2952
5/10/2010,94.3096
5/11/2010,94.4305
5/12/2010,94.5515
5/13/2010,94.5071
5/14/2010,95.3746
5/17/2010,95.9795
5/18/2010,95.6212
5/19/2010,96.5083
5/20/2010,96.9483
5/21/2010,96.2911
5/24/2010,96.6433
5/25/2010,97.5487
5/26/2010,97.1879
5/27/2010,96.3611
5/28/2010,96.3062
5/31/2010,
6/1/2010,96.6123
6/2/2010,96.615
6/3/2010,96.461
6/4/2010,97.1688
6/7/2010,97.503
6/8/2010,97.3425
6/9/2010,96.8938
6/10/2010,96.4877
6/11/2010,96.5616
6/14/2010,95.8082
6/15/2010,95.7049
6/16/2010,95.5668
6/17/2010,95.4973
6/18/2010,95.2981
6/21/2010,94.8505
6/22/2010,95.1165
6/23/2010,95.4853
6/24/2010,95.6194
6/25/2010,95.4582
6/28/2010,95.2696
6/29/2010,96.0199
6/30/2010,95.9934
7/1/2010,95.8018
7/2/2010,95.6345
7/5/2010,
7/6/2010,95.1069
7/7/2010,95.1795
